# benders_position_y_set	index0_set	index1_set	daq_ai_voltage
# "y position"	"index0"	"index1"	"Voltage"
# 50	4	50
-1.5	0	0	-1.47444223885155
-1.5	0	1	-1.41421569819461
-1.5	0	2	-1.35393445251585
-1.5	0	3	-1.29368226215253
-1.5	0	4	-1.23374742967918
-1.5	0	5	-1.17348703317083
-1.5	0	6	-1.11321087898495
-1.5	0	7	-1.05293171381819
-1.5	0	8	-0.992669044466662
-1.5	0	9	-0.932389519987932
-1.5	0	10	-0.872116767637576
-1.5	0	11	-0.811877311859953
-1.5	0	12	-0.751641020821571
-1.5	0	13	-0.691397914305635
-1.5	0	14	-0.631176383831447
-1.5	0	15	-0.570936962185331
-1.5	0	16	-0.510721046060701
-1.5	0	17	-0.450497151631342
-1.5	0	18	-0.390275321513698
-1.5	0	19	-0.330077058330686
-1.5	0	20	-0.269908606153783
-1.5	0	21	-0.209718651490849
-1.5	0	22	-0.14952071359036
-1.5	0	23	-0.0893124737119779
-1.5	0	24	-0.029149492592759
-1.5	0	25	0.0315649237851549
-1.5	0	26	0.091768794178578
-1.5	0	27	0.152000997489297
-1.5	0	28	0.212230438160971
-1.5	0	29	0.272440377838437
-1.5	0	30	0.332496580808868
-1.5	0	31	0.392584339722667
-1.5	0	32	0.45274428068871
-1.5	0	33	0.512980010126657
-1.5	0	34	0.573099541499854
-1.5	0	35	0.633266535181386
-1.5	0	36	0.693400321305641
-1.5	0	37	0.753487702493579
-1.5	0	38	0.813734702773735
-1.5	0	39	0.873807115088329
-1.5	0	40	0.933848834601692
-1.5	0	41	0.993778161171317
-1.5	0	42	1.0538167638921
-1.5	0	43	1.11395395639701
-1.5	0	44	1.17405627515001
-1.5	0	45	1.23403043108262
-1.5	0	46	1.29480572042502
-1.5	0	47	1.35482338246736
-1.5	0	48	1.4148970825788
-1.5	0	49	1.47503461206516

-1.5	1	0	-1.49903209330785
-1.5	1	1	-1.49923798793135
-1.5	1	2	-1.49946493557012
-1.5	1	3	-1.49967681774889
-1.5	1	4	-1.49989153274954
-1.5	1	5	-1.50013064864561
-1.5	1	6	-1.50035147996619
-1.5	1	7	-1.50057076611164
-1.5	1	8	-1.50078921528735
-1.5	1	9	-1.5010412720289
-1.5	1	10	-1.50127027990399
-1.5	1	11	-1.50149265640149
-1.5	1	12	-1.50173267365214
-1.5	1	13	-1.50194674483227
-1.5	1	14	-1.50214755325682
-1.5	1	15	-1.50237623922185
-1.5	1	16	-1.5026043457464
-1.5	1	17	-1.50284404108708
-1.5	1	18	-1.50309448827392
-1.5	1	19	-1.50332079209472
-1.5	1	20	-1.50353505642378
-1.5	1	21	-1.50377932290983
-1.5	1	22	-1.50400923214095
-1.5	1	23	-1.5042398495778
-1.5	1	24	-1.50447825727457
-1.5	1	25	-1.50468176975917
-1.5	1	26	-1.50491496248937
-1.5	1	27	-1.5051422964296
-1.5	1	28	-1.50537941648141
-1.5	1	29	-1.5056104845963
-1.5	1	30	-1.50583247480561
-1.5	1	31	-1.50606547439046
-1.5	1	32	-1.50630748749924
-1.5	1	33	-1.50653533649982
-1.5	1	34	-1.50677071823118
-1.5	1	35	-1.50700442602274
-1.5	1	36	-1.50723427087593
-1.5	1	37	-1.5074602527907
-1.5	1	38	-1.50769022640913
-1.5	1	39	-1.50793674628209
-1.5	1	40	-1.50817811557042
-1.5	1	41	-1.50840905492449
-1.5	1	42	-1.50864308462989
-1.5	1	43	-1.50887840198186
-1.5	1	44	-1.50911371933415
-1.5	1	45	-1.50935766391667
-1.5	1	46	-1.50957431039892
-1.5	1	47	-1.50980241693315
-1.5	1	48	-1.51002357017789
-1.5	1	49	-1.51026699970322

-1.5	2	0	0.00739666683720351
-1.5	2	1	0.00741765539203261
-1.5	2	2	0.00737992749899687
-1.5	2	3	0.00736125669868975
-1.5	2	4	0.00737954120657757
-1.5	2	5	0.00717577195498608
-1.5	2	6	0.00691637659490933
-1.5	2	7	0.00693208581998921
-1.5	2	8	0.00720210422161609
-1.5	2	9	0.00739228885644146
-1.5	2	10	0.00734657758672566
